Model unknown

  Variables:
    shifts_facing_wall : Size=1150, Index=shifts_facing_wall_index
        Key      : Lower : Value                   : Upper : Fixed : Stale : Domain
         (1, 37) :   -50 :       0.396027244346091 :    50 : False : False :  Reals
         (1, 38) :   -50 :      0.3909135162090751 :    50 : False : False :  Reals
         (1, 39) :   -50 :     0.38539748108838817 :    50 : False : False :  Reals
         (1, 40) :   -50 :     0.37956226077748734 :    50 : False : False :  Reals
         (1, 41) :   -50 :      0.3735222152309326 :    50 : False : False :  Reals
         (1, 42) :   -50 :     0.36741122659754943 :    50 : False : False :  Reals
         (1, 43) :   -50 :     0.36135762759965895 :    50 : False : False :  Reals
         (1, 44) :   -50 :      0.3554402667796549 :    50 : False : False :  Reals
         (1, 45) :   -50 :     0.34961913607828565 :    50 : False : False :  Reals
          (2, 0) :   -50 :         0.6458578884659 :    50 : False : False :  Reals
          (2, 1) :   -50 :      0.6632402591775057 :    50 : False : False :  Reals
          (2, 2) :   -50 :      0.6804889650270811 :    50 : False : False :  Reals
          (2, 3) :   -50 :      0.6974456687957153 :    50 : False : False :  Reals
          (2, 4) :   -50 :      0.7139221690287885 :    50 : False : False :  Reals
          (2, 5) :   -50 :      0.7297067223763479 :    50 : False : False :  Reals
          (2, 6) :   -50 :      0.7445786951921473 :    50 : False : False :  Reals
          (2, 7) :   -50 :      0.7583265751395869 :    50 : False : False :  Reals
          (2, 8) :   -50 :      0.7707656860506193 :    50 : False : False :  Reals
          (2, 9) :   -50 :      0.7817531703160694 :    50 : False : False :  Reals
         (2, 10) :   -50 :      0.7911988220505841 :    50 : False : False :  Reals
         (2, 11) :   -50 :      0.7990711459490495 :    50 : False : False :  Reals
         (2, 12) :   -50 :      0.8053985992939993 :    50 : False : False :  Reals
         (2, 13) :   -50 :      0.8102663823823965 :    50 : False : False :  Reals
         (2, 14) :   -50 :      0.8138094119577794 :    50 : False : False :  Reals
         (2, 15) :   -50 :       0.816202275030649 :    50 : False : False :  Reals
         (2, 16) :   -50 :      0.8176470430585644 :    50 : False : False :  Reals
         (2, 17) :   -50 :      0.8183598503756794 :    50 : False : False :  Reals
         (2, 18) :   -50 :      0.8185571243837422 :    50 : False : False :  Reals
         (2, 19) :   -50 :      0.8184423149927965 :    50 : False : False :  Reals
         (2, 20) :   -50 :      0.8181937820608406 :    50 : False : False :  Reals
         (2, 21) :   -50 :      0.8179544195533892 :    50 : False : False :  Reals
         (2, 22) :   -50 :      0.8178234915965867 :    50 : False : False :  Reals
         (2, 23) :   -50 :      0.8178510397949739 :    50 : False : False :  Reals
         (2, 24) :   -50 :      0.8180350993918714 :    50 : False : False :  Reals
         (2, 25) :   -50 :      0.8183218378867295 :    50 : False : False :  Reals
         (2, 26) :   -50 :      0.8186086056985917 :    50 : False : False :  Reals
         (2, 27) :   -50 :      0.8187497656572742 :    50 : False : False :  Reals
         (2, 28) :   -50 :      0.8185650479114023 :    50 : False : False :  Reals
         (2, 29) :   -50 :      0.8178500617180727 :    50 : False : False :  Reals
         (2, 30) :   -50 :      0.8163884898603007 :    50 : False : False :  Reals
         (2, 31) :   -50 :      0.8139654019216486 :    50 : False : False :  Reals
         (2, 32) :   -50 :       0.810380936447951 :    50 : False : False :  Reals
         (2, 33) :   -50 :       0.805463540743211 :    50 : False : False :  Reals
         (2, 34) :   -50 :      0.7990819091430906 :    50 : False : False :  Reals
         (2, 35) :   -50 :      0.7911547406116072 :    50 : False : False :  Reals
         (2, 36) :   -50 :      0.7816574589939612 :    50 : False : False :  Reals
         (2, 37) :   -50 :      0.7706251210263672 :    50 : False : False :  Reals
         (2, 38) :   -50 :      0.7581508987870326 :    50 : False : False :  Reals
         (2, 39) :   -50 :      0.7443797905321238 :    50 : False : False :  Reals
         (2, 40) :   -50 :      0.7294976188222179 :    50 : False : False :  Reals
         (2, 41) :   -50 :      0.7137159542866065 :    50 : False : False :  Reals
         (2, 42) :   -50 :      0.6972543927090024 :    50 : False : False :  Reals
         (2, 43) :   -50 :      0.6803226320085628 :    50 : False : False :  Reals
         (2, 44) :   -50 :      0.6631060208308708 :    50 : False : False :  Reals
         (2, 45) :   -50 :      0.6457594724586826 :    50 : False : False :  Reals
          (3, 0) :   -50 :      0.9017330143827698 :    50 : False : False :  Reals
          (3, 1) :   -50 :      0.9295875590755048 :    50 : False : False :  Reals
          (3, 2) :   -50 :      0.9571327765507015 :    50 : False : False :  Reals
          (3, 3) :   -50 :      0.9840485536074718 :    50 : False : False :  Reals
          (3, 4) :   -50 :      1.0100010986379953 :    50 : False : False :  Reals
          (3, 5) :   -50 :      1.0346509322933606 :    50 : False : False :  Reals
          (3, 6) :   -50 :       1.057668067285201 :    50 : False : False :  Reals
          (3, 7) :   -50 :       1.078750590593374 :    50 : False : False :  Reals
          (3, 8) :   -50 :      1.0976436924747477 :    50 : False : False :  Reals
          (3, 9) :   -50 :      1.1141568095088192 :    50 : False : False :  Reals
         (3, 10) :   -50 :      1.1281770967659488 :    50 : False : False :  Reals
         (3, 11) :   -50 :       1.139677972865954 :    50 : False : False :  Reals
         (3, 12) :   -50 :      1.1487220021878388 :    50 : False : False :  Reals
         (3, 13) :   -50 :      1.1554578795036212 :    50 : False : False :  Reals
         (3, 14) :   -50 :      1.1601117443706954 :    50 : False : False :  Reals
         (3, 15) :   -50 :       1.162973455970468 :    50 : False : False :  Reals
         (3, 16) :   -50 :      1.1643787874736928 :    50 : False : False :  Reals
         (3, 17) :   -50 :      1.1646887410323923 :    50 : False : False :  Reals
         (3, 18) :   -50 :        1.16426733362244 :    50 : False : False :  Reals
         (3, 19) :   -50 :      1.1634592581612355 :    50 : False : False :  Reals
         (3, 20) :   -50 :      1.1625688075369507 :    50 : False : False :  Reals
         (3, 21) :   -50 :       1.161841338462572 :    50 : False : False :  Reals
         (3, 22) :   -50 :      1.1614483771723085 :    50 : False : False :  Reals
         (3, 23) :   -50 :      1.1614772400565105 :    50 : False : False :  Reals
         (3, 24) :   -50 :      1.1619257714056952 :    50 : False : False :  Reals
         (3, 25) :   -50 :      1.1627025009781686 :    50 : False : False :  Reals
         (3, 26) :   -50 :        1.16363221051602 :    50 : False : False :  Reals
         (3, 27) :   -50 :       1.164466585382191 :    50 : False : False :  Reals
         (3, 28) :   -50 :      1.1648993297921855 :    50 : False : False :  Reals
         (3, 29) :   -50 :       1.164584855628214 :    50 : False : False :  Reals
